X,Y,name,pop_max,icon_url
51.5329678942993,25.2865560089066,Doha,"1450000",./0.png
-56.172998147036,-34.8560957075907,Montevideo,"1513000",./0.png
1.22081126074562,6.13388293026838,Lomé,"1452000",./0.png
10.179678099212,36.8027781362314,Tunis,"2412500",./0.png
28.2813817361143,-15.4146984093359,Lusaka,"1328000",./0.png
31.0427635720628,-17.8158438357778,Harare,"1572000",./0.png
-72.3379804469055,18.5429704547324,Port-au-Prince,"1998000",./0.png
32.581377667121,0.318604813383331,Kampala,"1420000",./0.png
68.7738793527017,38.5600352163166,Dushanbe,"1086244",./0.png
-57.6434510279013,-25.2944571170577,Asunción,"1870000",./0.png
28.2274832172338,-25.7049746951844,Pretoria,"1338000",./0.png
-79.5349830104108,8.96996304909487,Panama City,"1281000",./0.png
-6.83640815612614,34.0253073110728,Rabat,"1705000",./0.png
32.5872171039701,-25.953331628779,Maputo,"1446000",./0.png
45.3647317524587,2.06862719294753,Mogadishu,"1100000",./0.png
7.53138214293233,9.0852790077542,Abuja,"1576000",./0.png
35.9313540668741,31.9519711058275,Amman,"1060000",./0.png
47.5146780415299,-18.9146914920321,Antananarivo,"1697000",./0.png
-78.5019969671124,-0.213042322035562,Quito,"1701000",./0.png
-84.0859972112754,9.93695828835661,San José,"1284000",./0.png
-89.2049870794599,13.711947505494,San Salvador,"1433000",./0.png
-90.5289114365615,14.6230805214482,Guatemala,"1024000",./0.png
-8.0019849632497,12.6519605263233,Bamako,"1494000",./0.png
35.5077623513777,33.8739209756269,Beirut,"1846000",./0.png
44.788849590998,41.7269558470776,Tbilisi,"1100000",./0.png
15.2827436338487,-4.25723991319751,Brazzaville,"1355000",./0.png
-13.6821808861239,9.53346870502179,Conakry,"1494000",./0.png
-75.7019611598095,45.4186426553604,Ottawa,"1145000",./0.png
20.4660448220205,44.8205913044467,Belgrade,"1099000",./0.png
11.5147048968544,3.86864652075411,Yaounde,"1611000",./0.png
44.5116055317521,40.1830965941419,Yerevan,"1102000",./0.png
49.8602713032578,40.397217891343,Baku,"2122300",./0.png
104.914688621186,11.5519759885584,Phnom Penh,"1466000",./0.png
-68.1519310491022,-16.4960277550434,La Paz,"1590000",./0.png
23.3147081521101,42.6852952839305,Sofia,"1185000",./0.png
27.5646812966583,53.9019232950431,Minsk,"1805000",./0.png
-1.52666961491644,12.3722618365434,Ouagadougou,"1149000",./0.png
35.2066259345987,31.7784078155733,Jerusalem,"1029300",./0.png
105.848068341242,21.0352731077371,Hanoi,"4378000",./0.png
32.8624457823566,39.9291844440755,Ankara,"3716000",./0.png
19.0813748187597,47.5019521849914,Budapest,"1679000",./0.png
44.2046475239384,15.3566791542636,Sanaa,"2008000",./0.png
26.0980007953504,44.4353176634946,Bucharest,"1942000",./0.png
36.2980500304171,33.5019798542061,Damascus,"2466000",./0.png
-9.14681216410213,38.7246687364878,Lisbon,"2812000",./0.png
32.5322333800116,15.5900240842777,Khartoum,"4754000",./0.png
20.9980536924653,52.2519464883956,Warsaw,"1707000",./0.png
125.752744854994,39.0213845580043,Pyongyang,"3300000",./0.png
39.2663959776946,-6.79806673612438,Dar es Salaam,"2930000",./0.png
-6.25085154039107,53.3350069945849,Dublin,"1059000",./0.png
-10.7996604367759,6.31458164716014,Monrovia,"1041000",./0.png
101.698037416746,3.16861173071237,Kuala Lumpur,"1448000",./0.png
-82.3661280299533,23.1339046995422,Havana,"2174000",./0.png
14.4640339170485,50.0852828734783,Prague,"1162000",./0.png
47.9763552876253,29.3716634886296,Kuwait,"2063000",./0.png
-69.902030943315,18.4720187131954,Santo Domingo,"2154000",./0.png
-0.218661598960693,5.55198046444593,Accra,"2121000",./0.png
13.1800117580782,32.8925000193537,Tripoli,"2189000",./0.png
24.9321804828456,60.1775092325681,Helsinki,"1115000",./0.png
12.5615398887033,55.6805100490259,København,"1085000",./0.png
-4.04199411850709,5.32194282609856,Abidjan,"3802000",./0.png
-47.9179981470031,-15.781394372879,Brasília,"3716996",./0.png
4.33137074969045,50.8352629353303,Brussels,"1743000",./0.png
90.4066336081075,23.7250055703128,Dhaka,"12797394",./0.png
13.2324811826686,-8.83634025501266,Luanda,"5172900",./0.png
3.04860667090924,36.7650106566281,Algiers,"3354000",./0.png
-66.9189830510504,10.5029444130333,Caracas,"2985000",./0.png
30.5146821104722,50.4353131876072,Kiev,"2709000",./0.png
69.2929869608878,41.3136477416072,Tashkent,"2184000",./0.png
-3.68529754461252,40.4019721231138,Madrid,"5567000",./0.png
18.0953888741809,59.3527058128658,Stockholm,"1264000",./0.png
100.514698793695,13.751945064088,Bangkok,"6704000",./0.png
-77.0520079534347,-12.0460668175256,Lima,"8012000",./0.png
-17.4750759870506,14.7177775836233,Dakar,"2604000",./0.png
4.91469431740097,52.3519145466644,Amsterdam,"1031000",./0.png
126.997785138202,37.5682949583889,Seoul,"9796000",./0.png
120.980271303542,14.6061048134405,Manila,"11100000",./0.png
13.3996027647005,52.5237645222512,Berlin,"3406000",./0.png
15.3130260231717,-4.32777824327599,Kinshasa,"7843000",./0.png
23.7313752256794,37.9852720905523,Athens,"3242000",./0.png
44.3919229145641,33.3405943561586,Baghdad,"5054000",./0.png
38.6980585753487,9.03525622129575,Addis Ababa,"3100000",./0.png
51.422398175009,35.6738886270013,Tehran,"7873000",./0.png
-58.3994772323314,-34.6005557499074,Buenos Aires,"12795000",./0.png
69.1813141907051,34.5186361449003,Kabul,"3277000",./0.png
16.3646930967437,48.2019611368169,Vienna,"2400000",./0.png
121.568333333333,25.0358333333333,Taipei,"6900273",./0.png
